Time Period,M2 End of Month,M1 End of Month
2007-1,351498.77,128484.06
2007-10,394204.17,144649.33
2007-11,399757.91,148009.82
2007-12,403401.3,152519.17
2007-2,358659.25,126258.08
2007-3,364104.66,127881.31
2007-4,367326.45,127678.33
2007-5,369718.15,130275.8
2007-6,377832.15,135847.4
2007-7,383884.88,136237.43
2007-8,387205.04,140993.21
2007-9,393098.91,142591.57
2008-1,417846.17,154872.59
2008-10,453133.32,157194.36
2008-11,458644.66,157826.63
2008-12,475166.6,166217.13
2008-2,421037.84,150177.88
2008-3,423054.53,150867.47
2008-4,429313.72,151694.91
2008-5,436221.6,153344.75
2008-6,443141.02,154820.15
2008-7,446362.17,154992.44
2008-8,448846.68,156889.92
2008-9,452898.71,155748.97
2009-1,496135.31,165214.34
2009-10,586643.29,207545.74
2009-11,594604.72,212493.2
2009-12,610224.52,221445.81
2009-2,506708.07,166149.6
2009-3,530626.71,176541.13
2009-4,540481.21,178213.57
2009-5,548263.51,182025.58
2009-6,568916.2,193138.15
2009-7,573102.85,195889.27
2009-8,576698.95,200394.83
2009-9,585405.34,201708.14
2010-1,625609.29,229588.98
2010-10,699776.74,253313.17
2010-11,710339.03,259420.32
2010-12,725851.79,266621.54
2010-2,636072.26,224286.95
2010-3,649947.46,229397.93
2010-4,656561.22,233909.76
2010-5,663351.37,236497.88
2010-6,673921.72,240580
2010-7,674051.48,240664.07
2010-8,687506.92,244340.64
2010-9,696471.5,243821.9
2011-1,733884.83,261765.01
2011-10,816829.25,276552.67
2011-11,825493.94,281416.37
2011-12,851590.9,289847.7
2011-2,736130.86,259200.5
2011-3,758130.88,266255.48
2011-4,757384.56,266766.91
2011-5,763409.22,269289.63
2011-6,780820.85,274662.57
2011-7,772923.65,270545.65
2011-8,780852.3,273393.77
2011-9,787406.2,267193.16
2012-1,855898.89,270010.4
2012-10,936404.28,293309.78
2012-11,944832.4,296883
2012-12,974159.46,308672.99
2012-2,867171.42,270312.11
2012-3,895565.5,277998.11
2012-4,889604.04,274983.82
2012-5,900048.77,278656.31
2012-6,924991.2,287526.17
2012-7,919072.4,283090.68
2012-8,924894.59,285739.27
2012-9,943688.75,286788.21
2013-1,992129.25,311228.55
2013-10,1070242.17,319509.38
2013-11,1079257.06,324821.92
2013-12,1106524.98,337291.05
2013-2,998600.83,296103.24
2013-3,1035858.37,310898.29
2013-4,1032551.9,307648.42
2013-5,1042169.16,310204.48
2013-6,1054403.69,313499.82
2013-7,1052212.34,310596.46
2013-8,1061256.43,314085.91
2013-9,1077379.16,312330.34
2014-1,1123521.21,314900.55
2014-10,1199236.31,329617.73
2014-11,1208605.95,335114.13
2014-12,1228374.81,348056.41
2014-2,1131760.83,316625.11
2014-3,1160687.38,327683.74
2014-4,1168812.67,324482.52
2014-5,1182293.96,327839.56
2014-6,1209587.2,341487.45
2014-7,1194249.24,331347.32
2014-8,1197499.08,332023.23
2014-9,1202051.41,327220.21
2015-1,1242710.22,348109.5
2015-10,1361020.7,375806.45
2015-11,1373956.01,387618.32
2015-12,1392278.11,400953.44
2015-2,1257380.48,334439.22
2015-3,1275332.78,337210.52
2015-4,1280779.14,336388.24
2015-5,1307357.63,343085.86
2015-6,1333375.36,356082.86
2015-7,1353210.92,353122.19
2015-8,1356907.98,362793.73
2015-9,1359824.06,364416.9
2016-1,1416319.55,412685.64
2016-10,1519485.4,465446.65
2016-11,1530432.06,475405.54
2016-12,1550066.67,486557.24
2016-2,1424618.68,392504.7
2016-3,1446198.03,411581.31
2016-4,1445209.59,413504.84
2016-5,1461695.11,424250.7
2016-6,1490491.83,443643.7
2016-7,1491558.72,442934.43
2016-8,1510982.91,454543.6
2016-9,1516360.5,454340.25
2017-1,1575945.59,472526.45
2017-2,1582913.07,476527.6
??????????,,
????????????????????????????????????????2001-6???????????????????(M2)??????????,,